object,model,n_iterations,n_samples,time_horizon,step_time
cube,M1,1,16,0.352,0.064
cube,M2,1,16,0.352,0.064
cube,M3,1,16,0.352,0.064
cube,M4,1,16,0.352,0.064
cube,M1,2,16,0.352,0.064
cube,M2,2,16,0.352,0.064
cube,M3,2,16,0.352,0.064
cube,M4,2,16,0.352,0.064
cube,M1,3,16,0.352,0.064
cube,M2,3,16,0.352,0.064
cube,M3,3,16,0.352,0.064
cube,M4,3,16,0.352,0.064
cube,M1,1,64,0.352,0.064
cube,M2,1,64,0.352,0.064
cube,M3,1,64,0.352,0.064
cube,M4,1,64,0.352,0.064
cube,M1,2,64,0.352,0.064
cube,M2,2,64,0.352,0.064
cube,M3,2,64,0.352,0.064
cube,M4,2,64,0.352,0.064
cube,M1,3,64,0.352,0.064
cube,M2,3,64,0.352,0.064
cube,M3,3,64,0.352,0.064
cube,M4,3,64,0.352,0.064
cube,M1,1,256,0.352,0.064
cube,M2,1,256,0.352,0.064
cube,M3,1,256,0.352,0.064
cube,M4,1,256,0.352,0.064
cube,M1,2,256,0.352,0.064
cube,M2,2,256,0.352,0.064
cube,M3,2,256,0.352,0.064
cube,M4,2,256,0.352,0.064
cube,M1,3,256,0.352,0.064
cube,M2,3,256,0.352,0.064
cube,M3,3,256,0.352,0.064
cube,M4,3,256,0.352,0.064
cube,M1,1,1024,0.352,0.064
cube,M2,1,1024,0.352,0.064
cube,M3,1,1024,0.352,0.064
cube,M4,1,1024,0.352,0.064
cube,M1,2,1024,0.352,0.064
cube,M2,2,1024,0.352,0.064
cube,M3,2,1024,0.352,0.064
cube,M4,2,1024,0.352,0.064
cube,M1,3,1024,0.352,0.064
cube,M2,3,1024,0.352,0.064
cube,M3,3,1024,0.352,0.064
cube,M4,3,1024,0.352,0.064
